Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
34,CA-2019-100034,18-09-2019,19-09-2019,Second Class,CUST-009,Customer 25,Consumer,India,Surat,Tamil Nadu,334164,West,PROD-024,Technology,Paper,Table,43114,2,0.11,2972
35,CA-2019-100035,05-07-2019,08-07-2019,Standard Class,CUST-015,Customer 18,Corporate,India,Ahmedabad,Maharashtra,282434,West,PROD-060,Technology,Accessories,Headphones,55668,3,0.03,3281
36,CA-2019-100036,29-01-2019,31-01-2019,Standard Class,CUST-008,Customer 32,Home Office,India,Chennai,Delhi,737149,North,PROD-030,Office Supplies,Binders,Laptop,36390,4,0.11,4235
37,CA-2019-100037,23-10-2019,24-10-2019,First Class,CUST-016,Customer 43,Corporate,India,Ahmedabad,Maharashtra,849427,South,PROD-052,Technology,Paper,Smartphone,13553,3,0.08,3368
38,CA-2019-100038,29-01-2019,01-02-2019,First Class,CUST-027,Customer 27,Corporate,India,Kochi,Tamil Nadu,824356,North,PROD-016,Furniture,Chairs,Table,41934,5,0.09,9154
39,CA-2019-100039,19-12-2019,21-12-2019,Standard Class,CUST-016,Customer 31,Consumer,India,Pune,Kerala,422340,North,PROD-083,Office Supplies,Laptops,Laptop,56538,3,0.19,3411
40,CA-2019-100040,19-07-2019,20-07-2019,First Class,CUST-020,Customer 5,Home Office,India,Surat,Maharashtra,974625,South,PROD-026,Office Supplies,Binders,Laptop,6512,5,0.15,646
41,CA-2019-100041,31-03-2019,05-04-2019,First Class,CUST-019,Customer 9,Consumer,India,Pune,Telangana,183278,West,PROD-088,Furniture,Storage,Storage Box,51622,2,0.11,13091
42,CA-2019-100042,19-10-2019,24-10-2019,Standard Class,CUST-049,Customer 3,Corporate,India,Delhi,Gujarat,386813,North,PROD-027,Furniture,Storage,Notebook,23182,1,0.2,2532
43,CA-2019-100043,08-12-2019,12-12-2019,First Class,CUST-017,Customer 33,Home Office,India,Mumbai,Maharashtra,871061,South,PROD-092,Technology,Laptops,Storage Box,13760,4,0.07,1625
44,CA-2019-100044,15-06-2019,19-06-2019,Standard Class,CUST-046,Customer 10,Home Office,India,Bangalore,Karnataka,370830,West,PROD-011,Furniture,Laptops,Chair,39180,2,0.04,10008
45,CA-2019-100045,03-04-2019,08-04-2019,Standard Class,CUST-050,Customer 26,Home Office,India,Delhi,Tamil Nadu,680740,North,PROD-077,Technology,Tables,Table,17481,5,0.02,4487
46,CA-2019-100046,20-03-2019,22-03-2019,Standard Class,CUST-028,Customer 13,Consumer,India,Jaipur,Karnataka,580211,South,PROD-008,Furniture,Phones,Storage Box,33736,4,0.16,2176
47,CA-2019-100047,20-08-2019,21-08-2019,Second Class,CUST-026,Customer 16,Corporate,India,Ahmedabad,Delhi,995016,South,PROD-054,Furniture,Chairs,Headphones,56406,2,0.1,8751
48,CA-2019-100048,05-12-2019,06-12-2019,Standard Class,CUST-010,Customer 17,Home Office,India,Pune,Telangana,459288,South,PROD-051,Furniture,Tables,Table,57772,5,0.03,14050
49,CA-2019-100049,23-06-2019,26-06-2019,Second Class,CUST-046,Customer 35,Home Office,India,Delhi,Tamil Nadu,598589,West,PROD-015,Furniture,Phones,Laptop,26811,4,0.17,7967
50,CA-2019-100050,21-06-2019,24-06-2019,Standard Class,CUST-043,Customer 19,Home Office,India,Surat,Delhi,216671,South,PROD-013,Technology,Accessories,Chair,27047,2,0.11,1791
51,CA-2019-100051,02-04-2019,07-04-2019,First Class,CUST-017,Customer 45,Consumer,India,Ahmedabad,Kerala,877595,West,PROD-074,Technology,Chairs,Storage Box,20761,2,0.03,3408
52,CA-2019-100052,27-02-2019,02-03-2019,Standard Class,CUST-029,Customer 22,Corporate,India,Bangalore,Rajasthan,133974,West,PROD-070,Furniture,Binders,Laptop,2663,3,0.15,664
53,CA-2019-100053,25-10-2019,30-10-2019,First Class,CUST-023,Customer 6,Corporate,India,Hyderabad,Kerala,845229,West,PROD-006,Furniture,Phones,Table,35088,5,0.11,2820
54,CA-2019-100054,19-10-2019,20-10-2019,Standard Class,CUST-035,Customer 16,Corporate,India,Hyderabad,Rajasthan,483580,West,PROD-059,Furniture,Storage,Notebook,55157,1,0.19,13769
55,CA-2019-100055,07-06-2019,10-06-2019,First Class,CUST-014,Customer 16,Consumer,India,Mumbai,Karnataka,265332,South,PROD-062,Technology,Paper,Storage Box,4211,5,0.05,1164
56,CA-2019-100056,24-08-2019,27-08-2019,Second Class,CUST-044,Customer 18,Corporate,India,Hyderabad,Maharashtra,996507,West,PROD-021,Office Supplies,Phones,Table,52688,3,0.11,11038
57,CA-2019-100057,20-06-2019,25-06-2019,First Class,CUST-031,Customer 29,Home Office,India,Mumbai,Maharashtra,188778,North,PROD-068,Office Supplies,Paper,Laptop,47237,4,0.01,4918
58,CA-2019-100058,12-07-2019,16-07-2019,First Class,CUST-008,Customer 20,Corporate,India,Chennai,Rajasthan,261761,West,PROD-084,Furniture,Chairs,Binder,53696,3,0.19,15075
59,CA-2019-100059,20-02-2019,23-02-2019,Standard Class,CUST-012,Customer 14,Consumer,India,Mumbai,Telangana,158891,West,PROD-028,Technology,Phones,Smartphone,45138,1,0.13,10969
60,CA-2019-100060,15-10-2019,20-10-2019,First Class,CUST-002,Customer 50,Consumer,India,Delhi,Maharashtra,446076,South,PROD-076,Furniture,Accessories,Notebook,5270,5,0.14,895
61,CA-2019-100061,30-07-2019,31-07-2019,Second Class,CUST-037,Customer 7,Consumer,India,Ahmedabad,Tamil Nadu,750654,South,PROD-022,Furniture,Storage,Storage Box,6641,4,0.01,1961
62,CA-2019-100062,22-08-2019,27-08-2019,Second Class,CUST-024,Customer 7,Home Office,India,Surat,Tamil Nadu,820552,North,PROD-002,Furniture,Tables,Headphones,28235,5,0.08,8172
63,CA-2019-100063,12-09-2019,14-09-2019,Second Class,CUST-018,Customer 40,Home Office,India,Chennai,Rajasthan,957721,West,PROD-016,Technology,Accessories,Laptop,51300,5,0.12,4558
64,CA-2019-100064,11-09-2019,14-09-2019,First Class,CUST-013,Customer 19,Corporate,India,Delhi,Kerala,512932,South,PROD-018,Furniture,Phones,Storage Box,57885,1,0.02,6495
65,CA-2019-100065,14-10-2019,18-10-2019,Second Class,CUST-017,Customer 3,Home Office,India,Surat,Kerala,308483,North,PROD-029,Office Supplies,Storage,Binder,5935,2,0.17,568
66,CA-2019-100066,21-08-2019,25-08-2019,Second Class,CUST-011,Customer 2,Corporate,India,Surat,Rajasthan,736665,North,PROD-006,Technology,Paper,Notebook,57376,1,0.03,12443
67,CA-2019-100067,09-11-2019,12-11-2019,Standard Class,CUST-006,Customer 39,Corporate,India,Pune,Kerala,667122,West,PROD-034,Office Supplies,Accessories,Smartphone,45812,3,0.16,5378
68,CA-2019-100068,30-10-2019,04-11-2019,Second Class,CUST-012,Customer 31,Corporate,India,Surat,Karnataka,438692,South,PROD-046,Technology,Laptops,Table,55152,3,0.15,12193
69,CA-2019-100069,19-09-2019,20-09-2019,Standard Class,CUST-007,Customer 16,Home Office,India,Surat,Kerala,516775,South,PROD-074,Technology,Paper,Table,17963,5,0.12,4082
70,CA-2019-100070,01-06-2019,06-06-2019,Second Class,CUST-018,Customer 22,Corporate,India,Pune,Gujarat,151657,North,PROD-053,Technology,Storage,Storage Box,14038,4,0.01,3860
71,CA-2019-100071,30-04-2019,02-05-2019,Second Class,CUST-002,Customer 26,Corporate,India,Ahmedabad,Kerala,271216,North,PROD-027,Technology,Phones,Headphones,27498,3,0.03,7418
72,CA-2019-100072,08-05-2019,10-05-2019,First Class,CUST-042,Customer 47,Home Office,India,Jaipur,Gujarat,316659,South,PROD-082,Furniture,Tables,Chair,20908,3,0.03,5766
73,CA-2019-100073,11-03-2019,16-03-2019,Standard Class,CUST-016,Customer 44,Consumer,India,Delhi,Delhi,620792,North,PROD-083,Technology,Storage,Binder,58905,1,0.08,13014
74,CA-2019-100074,21-07-2019,24-07-2019,Standard Class,CUST-050,Customer 5,Consumer,India,Mumbai,Maharashtra,959456,West,PROD-070,Furniture,Phones,Smartphone,1324,4,0.17,182
75,CA-2019-100075,05-05-2019,10-05-2019,Second Class,CUST-041,Customer 28,Corporate,India,Chennai,Gujarat,809210,West,PROD-052,Office Supplies,Phones,Table,42127,5,0.15,6854
76,CA-2019-100076,30-08-2019,04-09-2019,Standard Class,CUST-028,Customer 17,Consumer,India,Delhi,Maharashtra,343215,South,PROD-067,Furniture,Binders,Laptop,4819,2,0.01,752
77,CA-2019-100077,25-11-2019,28-11-2019,Second Class,CUST-019,Customer 10,Consumer,India,Kochi,Karnataka,726296,South,PROD-015,Office Supplies,Binders,Smartphone,39113,2,0.1,8782
78,CA-2019-100078,13-01-2019,14-01-2019,First Class,CUST-021,Customer 33,Consumer,India,Bangalore,Delhi,130691,West,PROD-062,Furniture,Laptops,Storage Box,52939,5,0.15,8735
79,CA-2019-100079,14-08-2019,17-08-2019,Second Class,CUST-006,Customer 26,Consumer,India,Delhi,Kerala,709043,South,PROD-016,Office Supplies,Accessories,Notebook,52771,1,0.14,5886
80,CA-2019-100080,20-03-2019,25-03-2019,Standard Class,CUST-036,Customer 5,Corporate,India,Mumbai,Karnataka,819953,North,PROD-010,Office Supplies,Phones,Storage Box,42807,5,0.19,11638
81,CA-2019-100081,05-10-2019,08-10-2019,Standard Class,CUST-016,Customer 5,Consumer,India,Bangalore,Rajasthan,234366,North,PROD-008,Office Supplies,Chairs,Headphones,5400,5,0.03,357
82,CA-2019-100082,03-04-2019,07-04-2019,First Class,CUST-023,Customer 22,Consumer,India,Delhi,Kerala,230414,South,PROD-071,Office Supplies,Phones,Table,49197,4,0.08,8393
83,CA-2019-100083,02-05-2019,04-05-2019,Second Class,CUST-002,Customer 46,Home Office,India,Surat,Gujarat,773853,South,PROD-048,Office Supplies,Binders,Storage Box,49473,4,0.05,10575
84,CA-2019-100084,01-02-2019,02-02-2019,Second Class,CUST-036,Customer 48,Home Office,India,Ahmedabad,Karnataka,920479,North,PROD-032,Technology,Tables,Notebook,7541,2,0.02,1068
85,CA-2019-100085,10-05-2019,14-05-2019,Second Class,CUST-042,Customer 4,Consumer,India,Pune,Karnataka,456587,North,PROD-099,Office Supplies,Binders,Notebook,39951,5,0.07,3556
86,CA-2019-100086,24-01-2019,25-01-2019,Second Class,CUST-011,Customer 30,Home Office,India,Jaipur,Karnataka,107728,South,PROD-082,Technology,Storage,Storage Box,23430,3,0.03,2098
87,CA-2019-100087,27-12-2019,28-12-2019,First Class,CUST-032,Customer 33,Home Office,India,Mumbai,Telangana,144314,West,PROD-093,Office Supplies,Phones,Chair,36169,1,0.03,9814
88,CA-2019-100088,26-01-2019,29-01-2019,First Class,CUST-020,Customer 47,Consumer,India,Delhi,Delhi,319949,North,PROD-030,Furniture,Phones,Smartphone,48544,5,0.08,8605
89,CA-2019-100089,08-09-2019,13-09-2019,Standard Class,CUST-038,Customer 15,Corporate,India,Mumbai,Tamil Nadu,169971,North,PROD-055,Office Supplies,Tables,Binder,50974,5,0.06,6213
90,CA-2019-100090,27-09-2019,02-10-2019,Standard Class,CUST-049,Customer 10,Consumer,India,Mumbai,Karnataka,134969,South,PROD-083,Office Supplies,Chairs,Binder,28442,3,0.15,5686
91,CA-2019-100091,17-08-2019,22-08-2019,Standard Class,CUST-037,Customer 31,Consumer,India,Surat,Tamil Nadu,550060,North,PROD-076,Office Supplies,Binders,Table,30715,3,0.16,5269
92,CA-2019-100092,10-07-2019,12-07-2019,First Class,CUST-007,Customer 24,Corporate,India,Pune,Rajasthan,786579,South,PROD-084,Furniture,Binders,Table,6944,4,0.02,479
93,CA-2019-100093,05-11-2019,06-11-2019,Standard Class,CUST-046,Customer 25,Consumer,India,Ahmedabad,Telangana,424910,West,PROD-098,Furniture,Binders,Storage Box,15384,1,0.12,1335
94,CA-2019-100094,25-12-2019,27-12-2019,Second Class,CUST-034,Customer 13,Corporate,India,Pune,Telangana,458774,North,PROD-013,Technology,Phones,Notebook,10268,3,0.03,1078
95,CA-2019-100095,12-03-2019,13-03-2019,Standard Class,CUST-019,Customer 50,Corporate,India,Surat,Maharashtra,103460,North,PROD-011,Office Supplies,Binders,Laptop,48789,5,0.16,11954
96,CA-2019-100096,13-12-2019,14-12-2019,First Class,CUST-030,Customer 35,Home Office,India,Ahmedabad,Telangana,532069,West,PROD-065,Office Supplies,Binders,Chair,33599,5,0.15,6441
97,CA-2019-100097,22-11-2019,23-11-2019,Second Class,CUST-041,Customer 35,Home Office,India,Delhi,Kerala,400751,South,PROD-097,Office Supplies,Tables,Headphones,52370,4,0.13,14168
98,CA-2019-100098,05-05-2019,09-05-2019,Second Class,CUST-029,Customer 10,Consumer,India,Hyderabad,Telangana,932616,West,PROD-093,Office Supplies,Accessories,Binder,59387,3,0.04,9543
99,CA-2019-100099,28-02-2019,01-03-2019,Second Class,CUST-043,Customer 35,Consumer,India,Mumbai,Telangana,899071,West,PROD-044,Furniture,Tables,Notebook,24403,4,0.13,3496
100,CA-2019-100100,14-04-2019,17-04-2019,First Class,CUST-001,Customer 1,Home Office,India,Chennai,Telangana,554447,North,PROD-016,Furniture,Phones,Table,47920,5,0.16,4374
101,CA-2019-100101,12-08-2019,17-08-2019,First Class,CUST-018,Customer 38,Home Office,India,Surat,Rajasthan,660580,West,PROD-079,Furniture,Laptops,Headphones,11617,2,0.18,3291
102,CA-2019-100102,08-12-2019,12-12-2019,Second Class,CUST-021,Customer 24,Consumer,India,Pune,Delhi,269090,North,PROD-029,Furniture,Paper,Laptop,30566,2,0.18,6644
103,CA-2019-100103,06-10-2019,07-10-2019,Second Class,CUST-019,Customer 33,Consumer,India,Mumbai,Karnataka,537247,West,PROD-058,Furniture,Laptops,Storage Box,25504,2,0.07,6656
104,CA-2019-100104,24-08-2019,26-08-2019,First Class,CUST-001,Customer 11,Corporate,India,Chennai,Delhi,204555,South,PROD-016,Office Supplies,Chairs,Chair,35069,4,0.16,6803
105,CA-2019-100105,26-09-2019,29-09-2019,Standard Class,CUST-026,Customer 29,Consumer,India,Jaipur,Rajasthan,344279,West,PROD-024,Office Supplies,Phones,Laptop,47000,3,0.08,5033
106,CA-2019-100106,30-12-2019,01-01-2020,Second Class,CUST-050,Customer 10,Corporate,India,Bangalore,Maharashtra,923772,South,PROD-007,Office Supplies,Laptops,Smartphone,36819,5,0.04,4961
107,CA-2019-100107,09-05-2019,11-05-2019,Standard Class,CUST-024,Customer 9,Corporate,India,Kochi,Maharashtra,660908,North,PROD-035,Technology,Binders,Headphones,43984,2,0.02,7863
108,CA-2019-100108,14-06-2019,19-06-2019,Second Class,CUST-028,Customer 50,Consumer,India,Jaipur,Maharashtra,399746,West,PROD-026,Office Supplies,Chairs,Chair,16022,1,0.15,4197
109,CA-2019-100109,16-11-2019,17-11-2019,Second Class,CUST-039,Customer 28,Consumer,India,Surat,Telangana,156848,West,PROD-019,Office Supplies,Chairs,Binder,47656,2,0.11,10485
110,CA-2019-100110,08-01-2019,10-01-2019,Second Class,CUST-046,Customer 26,Home Office,India,Pune,Rajasthan,932478,South,PROD-090,Technology,Binders,Table,22178,1,0.02,5501
111,CA-2019-100111,29-04-2019,01-05-2019,Standard Class,CUST-045,Customer 38,Consumer,India,Kochi,Gujarat,826701,South,PROD-071,Furniture,Storage,Laptop,15163,3,0.09,1260
112,CA-2019-100112,19-08-2019,22-08-2019,Second Class,CUST-040,Customer 18,Corporate,India,Jaipur,Karnataka,416528,South,PROD-043,Technology,Paper,Laptop,53808,5,0.13,9103
113,CA-2019-100113,16-10-2019,18-10-2019,Second Class,CUST-029,Customer 18,Corporate,India,Chennai,Gujarat,485859,South,PROD-092,Furniture,Paper,Notebook,28643,5,0.15,7317
114,CA-2019-100114,18-03-2019,19-03-2019,First Class,CUST-043,Customer 43,Consumer,India,Kochi,Karnataka,135090,South,PROD-015,Office Supplies,Tables,Table,1569,4,0.16,470
115,CA-2019-100115,27-03-2019,01-04-2019,Standard Class,CUST-038,Customer 50,Corporate,India,Hyderabad,Karnataka,320328,North,PROD-030,Office Supplies,Phones,Table,23625,1,0.09,4381
116,CA-2019-100116,12-10-2019,13-10-2019,First Class,CUST-037,Customer 27,Home Office,India,Kochi,Maharashtra,454815,South,PROD-053,Technology,Phones,Storage Box,30682,1,0.09,8849
117,CA-2019-100117,08-03-2019,10-03-2019,First Class,CUST-035,Customer 47,Corporate,India,Mumbai,Maharashtra,907120,North,PROD-063,Office Supplies,Tables,Notebook,48465,3,0.05,13271
118,CA-2019-100118,30-10-2019,01-11-2019,First Class,CUST-027,Customer 27,Consumer,India,Delhi,Telangana,684532,West,PROD-096,Technology,Laptops,Laptop,20147,2,0.06,3040
119,CA-2019-100119,06-01-2019,09-01-2019,Second Class,CUST-002,Customer 26,Home Office,India,Mumbai,Telangana,993141,South,PROD-089,Office Supplies,Laptops,Chair,31951,2,0.12,5857
120,CA-2019-100120,27-09-2019,02-10-2019,Second Class,CUST-037,Customer 34,Consumer,India,Delhi,Kerala,674256,North,PROD-002,Furniture,Phones,Table,39815,2,0.08,4431
121,CA-2019-100121,03-07-2019,05-07-2019,Second Class,CUST-012,Customer 18,Consumer,India,Hyderabad,Tamil Nadu,719246,West,PROD-002,Technology,Storage,Notebook,54466,1,0.19,13633
122,CA-2019-100122,15-06-2019,16-06-2019,Standard Class,CUST-045,Customer 49,Consumer,India,Kochi,Telangana,426852,South,PROD-095,Furniture,Phones,Storage Box,27130,5,0.13,4206
123,CA-2019-100123,19-11-2019,22-11-2019,First Class,CUST-044,Customer 39,Home Office,India,Pune,Gujarat,647095,North,PROD-050,Furniture,Tables,Binder,17845,4,0.08,3361
124,CA-2019-100124,05-03-2019,08-03-2019,Standard Class,CUST-039,Customer 18,Corporate,India,Bangalore,Karnataka,661984,South,PROD-083,Office Supplies,Laptops,Binder,30729,4,0.03,4830
125,CA-2019-100125,07-11-2019,11-11-2019,Second Class,CUST-040,Customer 10,Consumer,India,Chennai,Karnataka,683447,North,PROD-029,Technology,Binders,Binder,32790,4,0.03,8085
126,CA-2019-100126,31-12-2019,01-01-2020,Second Class,CUST-047,Customer 20,Corporate,India,Ahmedabad,Karnataka,379149,South,PROD-067,Furniture,Accessories,Binder,59010,3,0.12,6125
127,CA-2019-100127,13-04-2019,17-04-2019,Standard Class,CUST-006,Customer 19,Home Office,India,Surat,Tamil Nadu,677971,North,PROD-001,Technology,Accessories,Headphones,34052,5,0.11,9039
128,CA-2019-100128,21-02-2019,22-02-2019,Second Class,CUST-046,Customer 18,Corporate,India,Bangalore,Tamil Nadu,371526,North,PROD-031,Technology,Laptops,Headphones,23750,1,0.04,6334
129,CA-2019-100129,20-09-2019,23-09-2019,Second Class,CUST-036,Customer 30,Home Office,India,Surat,Delhi,463034,West,PROD-033,Technology,Laptops,Binder,43958,2,0.03,6754
130,CA-2019-100130,22-10-2019,23-10-2019,First Class,CUST-023,Customer 45,Corporate,India,Surat,Tamil Nadu,337831,South,PROD-049,Furniture,Chairs,Chair,26675,5,0.11,7303
131,CA-2019-100131,02-07-2019,05-07-2019,First Class,CUST-043,Customer 29,Corporate,India,Hyderabad,Gujarat,728829,West,PROD-003,Office Supplies,Phones,Storage Box,49968,1,0.05,6665
132,CA-2019-100132,09-03-2019,11-03-2019,Standard Class,CUST-041,Customer 47,Home Office,India,Mumbai,Rajasthan,836017,West,PROD-030,Office Supplies,Chairs,Table,12040,3,0.18,3009
133,CA-2019-100133,18-01-2019,20-01-2019,First Class,CUST-050,Customer 19,Home Office,India,Delhi,Kerala,792823,West,PROD-096,Furniture,Storage,Table,57283,1,0.06,7967
134,CA-2019-100134,20-02-2019,24-02-2019,Standard Class,CUST-043,Customer 33,Home Office,India,Kochi,Kerala,953872,West,PROD-028,Office Supplies,Storage,Chair,7471,1,0.13,1118
135,CA-2019-100135,29-07-2019,31-07-2019,Second Class,CUST-027,Customer 6,Corporate,India,Delhi,Gujarat,278452,North,PROD-064,Technology,Binders,Table,52742,2,0.2,4624
136,CA-2019-100136,06-07-2019,08-07-2019,Second Class,CUST-028,Customer 50,Home Office,India,Hyderabad,Rajasthan,106434,West,PROD-002,Office Supplies,Accessories,Table,21170,1,0.02,3360
137,CA-2019-100137,29-08-2019,01-09-2019,Second Class,CUST-012,Customer 20,Corporate,India,Kochi,Maharashtra,655812,West,PROD-045,Technology,Tables,Binder,34111,2,0.04,7156
138,CA-2019-100138,10-04-2019,15-04-2019,Second Class,CUST-012,Customer 28,Consumer,India,Bangalore,Tamil Nadu,272770,West,PROD-049,Furniture,Storage,Headphones,46434,1,0.12,9177
139,CA-2019-100139,10-02-2019,12-02-2019,Second Class,CUST-007,Customer 33,Consumer,India,Bangalore,Maharashtra,875103,West,PROD-055,Technology,Laptops,Storage Box,28174,4,0.15,2836
140,CA-2019-100140,03-04-2019,06-04-2019,First Class,CUST-001,Customer 11,Home Office,India,Delhi,Gujarat,581458,West,PROD-049,Office Supplies,Accessories,Headphones,59669,5,0.18,13112
